Movie_Title,Name
Dune,Timothée Chalamet
Dune,Zendaya
Dune,Rebecca Ferguson
The Greatest Showman,Zendaya
The Greatest Showman,Zac Efron
The Greatest Showman,Hugh Jackman
High School Musical,Zac Efron
High School Musical,Vanessa Hudgens
High School Musical,Ashley Tisdale
Hocus Pocus,Sarah Jessica Parker
Hocus Pocus,Vinessa Shaw
Clayton's Friends,Lin-Manuel Miranda
Clayton's Friends,Paul Jacobs
Hamilton,Lin-Manuel Miranda
Hamilton,Anthony Ramos
Hamilton,Daveed Diggs
Cats,Taylor Swift
Cats,James Corden
Cats,Jason Derulo
The Lorax,Danny DeVito
The Lorax,Zac Efron
The Lorax,Taylor Swift
Neighbors,Zac Efron
Neighbors,Rose Byrne
Neighbors,Dave Franco
Spy,Rose Byrne
Spy,Melissa McCarthy
Life of the Party,Melissa McCarthy
Life of the Party,Debby Ryan
Neighbors 2: Sorority Rising,Rose Byrne
Neighbors 2: Sorority Rising,Zac Efron
Neighbors 2: Sorority Rising,Dave Franco
Nerve,Dave Franco
Nerve,Emma Roberts
Hotel for Dogs,Emma Roberts
Hotel for Dogs,Jake T. Austin
In The Heights,Lin-Manuel Miranda
In The Heights,Anthony Ramos
A Star Is Born,Bradley Cooper
A Star Is Born,Lady Gaga
Silver Linings Playbook,Bradley Cooper
Silver Linings Playbook,Jennifer Lawrence
The Hunger Games,Jennifer Lawrence
The Hunger Games,Josh Hutcherson
The Hunger Games,Liam Hemsworth
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Josh Hutcherson
The Hunger Games: Catching Fire,Liam Hemsworth
The Hunger Games: Mockingjay Part 1,Jennifer Lawrence
The Hunger Games: Mockingjay Part 1,Josh Hutcherson
The Hunger Games: Mockingjay Part 1,Liam Hemsworth
